latitude,temperature,salinity,ph,oxygen,enterococcus,quality
26.013386,23.55,32.6,7.98,6.9,790,0
25.814849,21.05,32.8,7.88,6.9,63,1
25.814849,27,33.6,7.96,6.9,9139,0
26.025014,24.2,32.8,8.1,6.9,536,0
25.930998,22.45,33.2,7.96,6.9,0.99,1
26.001124,24.01,33.5,8.02,6.9,10,1
26.0165,23.5,32.5,7.95,6.9,1292,0
26.022352,22.58,33.4,8.01,6.9,75,1
26.058156,24.2,32.5,7.75,6.9,1076,0
26.082873,24.02,33.4,7.99,6.9,143,1
25.721483,20.5,32.5,7.85,6.9,0.99,1
25.721483,23.61,32.1,7.83,6.9,9600,0
25.832737,22.3,33.4,7.93,6.9,0.99,1
25.922304,23.15,33.1,8.01,6.9,10,1
25.972378,24.01,32.3,8.01,6.9,406,0
26.013386,27.41,32.1,8.07,6.9,9600,0
26.025014,21.79,21.5,7.49,6.9,0.99,1
25.930998,26.79,32.3,7.92,6.9,0.99,1
26.001124,22.5,33.3,7.99,6.9,9600,0
26.0165,27.75,32.8,8,6.9,7915,0
26.022352,27.85,32.5,7.94,6.9,9139,0
26.058156,27.93,32.8,8.04,6.9,0.99,1
26.082873,27.93,32.8,8.01,6.9,20,1
25.832737,26.11,32,7.93,6.9,9600,0
25.922304,26.35,33.3,7.98,6.9,0.99,1
25.972378,20.44,33.4,7.9,6.9,9600,0
26.013386,28.72,32.5,8.01,6.33,0.99,1
25.814849,27.86,32.8,8.02,6.33,10,1
26.025014,30.23,32.8,7.76,6.33,0.99,1
25.930998,26.83,32.4,7.43,6.33,0.99,1
26.001124,30.81,29.5,7.92,6.33,9600,0
26.0165,28.79,32.8,7.97,6.33,0.99,1
26.022352,28.77,33.2,7.91,6.33,0.99,1
26.058156,28.93,33,8.06,6.33,9600,0
26.082873,28.54,32.9,8.07,6.33,0.99,1
25.721483,26.62,32.1,8.02,6.33,20,1
25.832737,27.03,32.4,7.94,6.33,0.99,1
25.922304,28.25,32,7.98,6.33,0.99,1
25.972378,29.54,33.2,7.98,6.33,0.99,1
26.013386,30.12,32.2,8.09,6.33,0.99,1
25.814849,28.8,32.5,8.04,6.33,10,1
26.025014,30.25,32.3,7.87,6.33,0.99,1
25.930998,28.62,31.8,7.97,6.33,0.99,1
26.001124,29.51,32.8,8.02,6.33,0.99,1
26.0165,30.07,32.3,8.06,6.33,0.99,1
26.022352,30.1,32.9,7.96,6.33,10112,0
26.058156,32.15,32.3,8.07,6.33,9600,0
26.082873,31.4,29.8,7.14,6.33,8297,0
25.721483,28,32,7.89,6.33,10,1
25.832737,28.73,30.1,7.93,6.33,6400,0
25.922304,29.16,30.3,7.95,6.33,8704,0
25.972378,26.29,33,8.02,6.33,0.99,1
26.013386,31.45,32.3,8.15,6.33,31,1
25.814849,29.74,33.1,8.01,6.33,0.99,1
26.025014,33.08,23.9,7.51,6.33,31,1
25.930998,31.7,33.6,7.88,6.33,210,0
26.001124,32.35,33.1,8.06,6.33,0.99,1
26.0165,31.41,32.1,8.09,6.33,63,1
26.022352,31.72,32.8,7.98,6.33,282,0
26.058156,31.54,32.4,8.13,6.33,203,0
26.082873,32.07,32.6,8.09,6.33,110,1
25.721483,33.41,32.6,8,6.33,110,1
25.832737,29.55,32.9,8.07,6.33,10,1
25.922304,30.83,31.7,8.01,6.33,31,1
25.972378,32.56,32.9,8.06,6.33,0.99,1
26.013386,32.53,33,8.06,6.09,0.99,1
25.814849,29.97,32.9,8.08,6.09,0.99,1
26.025014,32.53,22.5,7.64,6.09,0.99,1
25.930998,30.69,32.6,8.13,6.09,0.99,1
26.001124,33.12,32.5,8.02,6.09,0.99,1
26.0165,31.43,32.3,8.01,6.09,0.99,1
26.022352,30.66,29.5,7.87,6.09,0.99,1
26.058156,31.03,31.2,8.13,6.09,0.99,1
26.082873,30.01,32.6,8.14,6.09,0.99,1
25.721483,29.96,32.4,8,6.09,0.99,1
25.832737,30.17,32.7,8.1,6.09,0.99,1
25.922304,30.33,32.8,8.08,6.09,0.99,1
25.972378,33.01,32.1,8.01,6.09,0.99,1
26.013386,29.27,32.6,8.06,6.09,10,1
25.814849,27.5,33.5,8.03,6.09,0.99,1
26.025014,30.77,21.8,7.61,6.09,0.99,1
25.930998,28.05,34.6,7.95,6.09,0.99,1
26.001124,31.04,33.2,8.06,6.09,0.99,1
26.0165,29.8,33,7.94,6.09,0.99,1
26.022352,29.55,32.8,7.66,6.09,0.99,1
26.058156,28.63,33.1,8.03,6.09,0.99,1
26.082873,28.45,33.2,8.04,6.09,0.99,1
25.721483,26.08,32.7,8,6.09,0.99,1
25.832737,27.84,32.7,8.05,6.09,96,1
25.922304,28.07,33.1,8,6.09,0.99,1
25.972378,29.88,33.4,8.03,6.09,0.99,1
26.013386,30.93,33,8.06,5.94,0.99,1
25.814849,30.25,32.9,8.05,5.94,0.99,1
26.025014,30.89,33.4,8.09,5.94,10,1
25.930998,30.16,33,8.08,5.94,0.99,1
26.001124,31.05,32.9,8.05,5.94,0.99,1
26.0165,30.93,33,8.06,5.94,10,1
26.022352,30.89,33,8.08,5.94,0.99,1
26.082873,30.32,33,8.07,5.94,10112,0
26.058156,31,33,8.11,5.94,0.99,1
25.721483,29.92,32.9,8.09,5.94,20,1
25.832737,29.96,32.9,8.08,5.94,0.99,1
25.922304,30.28,33,8.1,5.94,0.99,1
25.972378,30.93,33,8.06,5.94,0.99,1
26.013386,28.26,31,8.02,5.94,618,0
25.814849,28.82,32,8.09,5.94,0.99,1
26.025014,29.47,30,8.57,5.94,10112,0
25.930998,28.52,30.2,8.93,5.94,81,1
26.001124,28.01,32.2,8.01,5.94,1008,0
26.0165,28.17,32,8.07,5.94,74,1
26.022352,28.21,32.8,8.07,5.94,10112,0
26.058156,28.62,32.6,7.81,5.94,10112,0
25.922304,26.82,33.1,8.03,5.94,10112,0
26.082873,33.63,32.9,8,5.94,226,0
25.721483,26.82,32.5,8,5.94,0.99,1
25.832737,26.92,32.6,8.04,5.94,0.99,1
25.972378,28.96,31.1,8.65,5.94,6015,0
26.013386,27.68,32.4,7.37,6.01,0.99,1
25.814849,26,32.1,7.31,6.01,8297,0
26.025014,28.71,31.7,7.28,6.01,9606,0
25.930998,26.03,24.7,7.14,6.01,7556,0
26.001124,27.64,32.2,7.33,6.01,9139,0
26.0165,27.86,32.2,7.39,6.01,0.99,1
26.022352,27.96,32.2,7.38,6.01,7556,0
26.058156,29.94,31.8,7.34,6.01,0.99,1
25.832737,26.01,31.9,7.32,6.01,10112,0
26.082873,29.94,31.7,7.36,6.01,8297,0
25.721483,26.64,31.7,7.36,6.01,9606,0
25.922304,26.09,24.8,7.13,6.01,8704,0
25.972378,27.1,32.3,7.3,6.01,6167,0
26.013386,27.07,32.1,7.32,6.01,10112,0
25.814849,26.46,32.1,7.34,6.01,0.99,1
26.025014,28.17,30.6,7.25,6.01,9606,0
25.930998,26.63,29.5,7.3,6.01,0.99,1
26.001124,26.79,32.2,7.32,6.01,10112,0
26.0165,27.27,29.9,7.31,6.01,10112,0
26.058156,28.4,32.1,7.28,6.01,0.99,1
26.082873,28.25,32.1,7.36,6.01,0.99,1
26.022352,27.59,32.1,7.27,6.01,10112,0
25.721483,24.98,32,7.22,6.01,0.99,1
25.832737,27.08,32,7.36,6.01,0.99,1
25.922304,25.94,31.8,7.28,6.01,6893,0
25.972378,25.82,32.2,7.3,6.01,0.99,1
26.013386,26.09,31.4,7.18,6.12,10,1
25.814849,25.93,31.8,7.24,6.12,0.99,1
26.025014,26.09,32.3,7.31,6.12,0.99,1
25.930998,25.19,33.1,7.35,6.12,0.99,1
26.001124,25.81,33.8,7.27,6.12,0.99,1
26.0165,25.83,31.9,7.31,6.12,0.99,1
26.022352,26.09,32.3,7.31,6.12,0.99,1
26.058156,25.82,32.2,7.37,6.12,0.99,1
26.082873,26.04,32.3,7.31,6.12,0.99,1
25.721483,26.1,32.1,7.16,6.12,0.99,1
25.832737,25.19,33.1,7.35,6.12,0.99,1
25.922304,25.83,32.3,7.17,6.12,0.99,1
25.972378,25.96,32.1,7.17,6.12,0.99,1
26.013386,22.09,31.5,7.24,6.12,0.99,1
25.814849,23.18,24.7,7.27,6.12,0.99,1
26.025014,22.42,32.4,7.31,6.12,0.99,1
25.930998,20.52,29.8,7.25,6.12,10,1
26.001124,22.25,31.5,7.34,6.12,61,1
26.0165,22.11,31.6,7.29,6.12,20,1
26.022352,22.5,32.4,7.27,6.12,10,1
26.058156,22.89,29.3,7.23,6.12,0.99,1
26.082873,22.69,26.2,7.22,6.12,10,1
25.721483,22.7,31.5,7.14,6.12,20,1
25.832737,22.67,26.2,7.26,6.12,0.99,1
25.922304,23.1,32,7.32,6.12,20,1
25.972378,23.44,32.3,7.25,6.12,41,1
26.013386,22.5,32.1,7.02,6.08,0.99,1
25.814849,22.5,32.1,7.02,6.08,0.99,1
26.025014,22.5,32.1,7.02,6.08,0.99,1
25.930998,22.5,32.1,7.02,6.08,0.99,1
26.001124,22.5,32.1,7.02,6.08,0.99,1
26.0165,22.5,32.1,7.02,6.08,0.99,1
26.022352,22.5,32.1,7.02,6.08,0.99,1
26.058156,22.5,32.1,7.02,6.08,0.99,1
26.082873,22.5,32.1,7.02,6.08,0.99,1
25.721483,22.5,32.1,7.02,6.08,0.99,1
25.832737,22.5,32.1,7.02,6.08,0.99,1
25.922304,22.5,32.1,7.02,6.08,0.99,1
25.972378,22.5,32.1,7.02,6.08,0.99,1
26.013386,20.81,32.5,7.1,6.08,0.99,1
25.814849,20.81,32.5,7.1,6.08,0.99,1
26.025014,20.81,32.5,7.1,6.08,0.99,1
25.930998,20.81,32.5,7.1,6.08,0.99,1
26.001124,20.81,32.5,7.1,6.08,10,1
26.0165,20.81,32.5,7.1,6.08,0.99,1
26.022352,20.81,32.5,7.1,6.08,0.99,1
26.058156,20.81,32.5,7.1,6.08,0.99,1
26.082873,20.81,32.5,7.1,6.08,0.99,1
25.721483,20.81,32.5,7.1,6.08,0.99,1
25.832737,20.81,32.5,7.1,6.08,0.99,1
25.922304,20.81,32.5,7.1,6.08,10,1
25.972378,20.81,32.5,7.1,6.08,0.99,1
26.013386,22.5,32,7.12,7.09,0.99,1
25.814849,22.5,32,7.12,7.09,0.99,1
26.001124,22.5,32,7.12,7.09,0.99,1
26.0165,22.5,32,7.12,7.09,0.99,1
26.022352,22.5,32,7.12,7.09,0.99,1
26.058156,22.5,32,7.12,7.09,0.99,1
26.082873,22.5,32,7.12,7.09,0.99,1
25.721483,22.5,32,7.12,7.09,0.99,1
25.832737,22.5,32,7.12,7.09,0.99,1
25.922304,22.5,32,7.12,7.09,0.99,1
25.972378,22.5,32,7.12,7.09,0.99,1
26.013386,22.6,32.1,7.12,7.16,0.99,1
25.814849,22.6,32.1,7.12,7.16,0.99,1
26.001124,22.6,32.1,7.12,7.16,0.99,1
26.0165,22.6,32.1,7.12,7.16,0.99,1
26.022352,22.6,32.1,7.12,7.16,0.99,1
26.058156,22.6,32.1,7.12,7.16,0.99,1
26.082873,22.6,32.1,7.12,7.16,0.99,1
25.721483,22.6,32.1,7.12,7.16,0.99,1
25.832737,22.6,32.1,7.12,7.16,0.99,1
25.922304,22.6,32.1,7.12,7.16,0.99,1
25.972378,22.6,32.1,7.12,7.16,0.99,1
26.013386,22.6,32.1,7.12,7.16,11,1
25.814849,22.6,32.1,7.12,7.16,10,1
26.001124,22.6,32.1,7.12,7.16,146,1
26.0165,22.6,32.1,7.12,7.16,20,1
26.022352,22.6,32.1,7.12,7.16,41,1
26.058156,22.6,32.1,7.12,7.16,0.99,1
26.082873,22.6,32.1,7.12,7.16,0.99,1
25.721483,22.6,32.1,7.12,7.16,20,1
25.832737,22.6,32.1,7.12,7.16,10,1
25.922304,22.6,32.1,7.12,7.16,0.99,1
25.972378,22.6,32.1,7.12,7.16,0.99,1
26.013386,22.6,32.1,7.2,7.16,0.99,1
25.814849,22.6,32.1,7.2,7.16,0.99,1
26.001124,22.6,32.1,7.2,7.16,0.99,1
26.0165,22.6,32.1,7.2,7.16,0.99,1
26.022352,22.6,32.1,7.2,7.16,0.99,1
26.058156,22.6,32.1,7.2,7.16,0.99,1
26.082873,22.6,32.1,7.2,7.16,0.99,1
25.721483,22.6,32.1,7.2,7.16,0.99,1
25.832737,22.6,32.1,7.2,7.16,0.99,1
25.922304,22.6,32.1,7.2,7.16,0.99,1
25.972378,22.6,32.1,7.2,7.16,0.99,1
26.013386,24.3,32.9,7.2,6.8,0.99,1
25.814849,24.3,32.9,7.2,6.8,0.99,1
26.001124,24.3,32.9,7.2,6.8,0.99,1
26.0165,24.3,32.9,7.2,6.8,0.99,1
26.022352,24.3,32.9,7.2,6.8,0.99,1
26.058156,24.3,32.9,7.2,6.8,0.99,1
26.082873,24.3,32.9,7.2,6.8,0.99,1
25.721483,24.3,32.9,7.2,6.8,0.99,1
25.832737,24.3,32.9,7.2,6.8,0.99,1
25.922304,24.3,32.9,7.2,6.8,0.99,1
25.972378,24.3,32.9,7.2,6.8,0.99,1
26.013386,22.6,32.9,7.2,6.8,0.99,1
25.814849,22.6,32.9,7.2,6.8,0.99,1
26.001124,22.6,32.9,7.2,6.8,0.99,1
26.0165,22.6,32.9,7.2,6.8,0.99,1
26.022352,22.6,32.9,7.2,6.8,0.99,1
26.058156,22.6,32.9,7.2,6.8,2382,0
26.082873,22.6,32.9,7.2,6.8,0.99,1
25.721483,22.6,32.9,7.2,6.8,0.99,1
25.832737,22.6,32.9,7.2,6.8,0.99,1
25.922304,22.6,32.9,7.2,6.8,0.99,1
25.972378,22.6,32.9,7.2,6.8,0.99,1
26.013386,22.6,32.9,7.2,6.8,0.99,1
